SAMPLE NAME	HGNC ID	GENE NAME	PROCESS	LOG2FOLD	P-VALUE
Met_vs_Placebo_RA_user	MCL1	MCL1 apoptosis regulator, BCL2 family member	Apoptosis	0.0625259	0.715862
Met_vs_Placebo_RA_user	MTCH1	mitochondrial carrier 1	Apoptosis	-0.215088	0.00300542
Met_vs_Placebo_RA_user	MTCH2	mitochondrial carrier 2	Apoptosis	0.100258	0.294103
Met_vs_Placebo_RA_user	PARL	presenilin associated rhomboid like	Apoptosis	-0.273915	0.00931844
Met_vs_Placebo_RA_user	PRELID1	PRELI domain containing 1	Apoptosis	-0.48989	0.020752
Met_vs_Placebo_RA_user	RPS6KB1	ribosomal protein S6 kinase B1	Apoptosis	0.441334	0.0013445
Met_vs_Placebo_RA_user	TRAP1	TNF receptor associated protein 1	Apoptosis	-0.23141	0.039376
Met_vs_Placebo_RA_user	TSPO	translocator protein	Apoptosis	-0.363381	0.102113
Met_vs_Placebo_RA_user	XIAP	X-linked inhibitor of apoptosis	Apoptosis	0.564237	0.0000213789
Met_vs_Placebo_RA_user	AMACR	alpha-methylacyl-CoA racemase	Bile Acid Synthesis	-0.0591587	0.639011
Met_vs_Placebo_RA_user	STAR	steroidogenic acute regulatory protein	Bile Acid Synthesis	-0.474058	0.000254271
Met_vs_Placebo_RA_user	CCDC90B	coiled-coil domain containing 90B	Calcium Signaling & Transport	-0.291592	0.0468051
Met_vs_Placebo_RA_user	EFHD1	EF-hand domain family member D1	Calcium Signaling & Transport	0.207426	0.537021
Met_vs_Placebo_RA_user	HINT2	histidine triad nucleotide binding protein 2	Calcium Signaling & Transport	-0.460289	0.0000718654
Met_vs_Placebo_RA_user	ITPR1	inositol 1,4,5-trisphosphate receptor type 1	Calcium Signaling & Transport	0.204065	0.429947
Met_vs_Placebo_RA_user	ITPR2	inositol 1,4,5-trisphosphate receptor type 2	Calcium Signaling & Transport	1.0441	0.0000081463
Met_vs_Placebo_RA_user	ITPR3	inositol 1,4,5-trisphosphate receptor type 3	Calcium Signaling & Transport	0.216576	0.356893
Met_vs_Placebo_RA_user	LETM1	leucine zipper and EF-hand containing transmembrane protein 1	Calcium Signaling & Transport	0.125904	0.148963
Met_vs_Placebo_RA_user	MAIP1	matrix AAA peptidase interacting protein 1	Calcium Signaling & Transport	-0.167365	0.321655
Met_vs_Placebo_RA_user	MCU	mitochondrial calcium uniporter	Calcium Signaling & Transport	0.02411	0.852201
Met_vs_Placebo_RA_user	MCUR1	mitochondrial calcium uniporter regulator 1	Calcium Signaling & Transport	0.381038	0.000413038
Met_vs_Placebo_RA_user	MICU1	mitochondrial calcium uptake 1	Calcium Signaling & Transport	0.987089	4.7e-9
Met_vs_Placebo_RA_user	MICU2	mitochondrial calcium uptake 2	Calcium Signaling & Transport	-0.0957791	0.271919
Met_vs_Placebo_RA_user	PACS2	phosphofurin acidic cluster sorting protein 2	Calcium Signaling & Transport	0.0120973	0.915126
Met_vs_Placebo_RA_user	PML	promyelocytic leukemia	Calcium Signaling & Transport	-0.26386	0.308729
Met_vs_Placebo_RA_user	SLC25A12	solute carrier family 25 member 12	Calcium Signaling & Transport	-0.0935191	0.256673
Met_vs_Placebo_RA_user	SLC25A13	solute carrier family 25 member 13	Calcium Signaling & Transport	-0.0461762	0.737181
Met_vs_Placebo_RA_user	SLC8B1	solute carrier family 8 member B1	Calcium Signaling & Transport	-0.315587	0.261235
Met_vs_Placebo_RA_user	TCHP	trichoplein keratin filament binding	Calcium Signaling & Transport	-0.0136151	0.948634
Met_vs_Placebo_RA_user	TMEM65	transmembrane protein 65	Calcium Signaling & Transport	0.241672	0.0187317
Met_vs_Placebo_RA_user	CDS1	CDP-diacylglycerol synthase 1	Cardiolipin Biosynthesis	0.54746	0.00293544
Met_vs_Placebo_RA_user	CRLS1	cardiolipin synthase 1	Cardiolipin Biosynthesis	-0.281093	0.0148434
Met_vs_Placebo_RA_user	LCLAT1	lysocardiolipin acyltransferase 1	Cardiolipin Biosynthesis	0.129515	0.350708
Met_vs_Placebo_RA_user	PGS1	phosphatidylglycerophosphate synthase 1	Cardiolipin Biosynthesis	0.232624	0.0508184
Met_vs_Placebo_RA_user	PTPMT1	protein tyrosine phosphatase mitochondrial 1	Cardiolipin Biosynthesis	-0.55217	0.0000119568
Met_vs_Placebo_RA_user	ACSL1	acyl-CoA synthetase long chain family member 1	Fatty Acid Biosynthesis & Elongation	0.288445	0.0222151
Met_vs_Placebo_RA_user	ACSL5	acyl-CoA synthetase long chain family member 5	Fatty Acid Biosynthesis & Elongation	-0.047124	0.887605
Met_vs_Placebo_RA_user	ACSL6	acyl-CoA synthetase long chain family member 6	Fatty Acid Biosynthesis & Elongation	0.50289	0.118536
Met_vs_Placebo_RA_user	ACSM3	acyl-CoA synthetase medium chain family member 3	Fatty Acid Biosynthesis & Elongation	-0.121953	0.806285
Met_vs_Placebo_RA_user	CBR4	carbonyl reductase 4	Fatty Acid Biosynthesis & Elongation	0.324307	0.00484862
Met_vs_Placebo_RA_user	ECH1	enoyl-CoA hydratase 1	Fatty Acid Biosynthesis & Elongation	-0.332649	0.000474016
Met_vs_Placebo_RA_user	ECHDC1	ethylmalonyl-CoA decarboxylase 1	Fatty Acid Biosynthesis & Elongation	-0.138243	0.0756649
Met_vs_Placebo_RA_user	ECHDC2	enoyl-CoA hydratase domain containing 2	Fatty Acid Biosynthesis & Elongation	-0.461176	0.00188799
Met_vs_Placebo_RA_user	ECHDC3	enoyl-CoA hydratase domain containing 3	Fatty Acid Biosynthesis & Elongation	0.193826	0.0932557
Met_vs_Placebo_RA_user	ECHS1	enoyl-CoA hydratase, short chain 1	Fatty Acid Biosynthesis & Elongation	-0.375071	0.00259007
Met_vs_Placebo_RA_user	HSD17B8	hydroxysteroid 17-beta dehydrogenase 8	Fatty Acid Biosynthesis & Elongation	-0.420944	0.0000260685
Met_vs_Placebo_RA_user	MCAT	malonyl-CoA-acyl carrier protein transacylase	Fatty Acid Biosynthesis & Elongation	-0.476753	0.0000085002
Met_vs_Placebo_RA_user	MECR	mitochondrial trans-2-enoyl-CoA reductase	Fatty Acid Biosynthesis & Elongation	-0.122515	0.345787
Met_vs_Placebo_RA_user	OXSM	3-oxoacyl-ACP synthase, mitochondrial	Fatty Acid Biosynthesis & Elongation	0.147836	0.284752
Met_vs_Placebo_RA_user	THEM4	thioesterase superfamily member 4	Fatty Acid Biosynthesis & Elongation	0.330089	0.207538
Met_vs_Placebo_RA_user	ACAA2	acetyl-CoA acyltransferase 2	Fatty Acid Degradation & Beta-oxidation	0.118384	0.230678
Met_vs_Placebo_RA_user	ACACB	acetyl-CoA carboxylase beta	Fatty Acid Degradation & Beta-oxidation	0.205729	0.147975
Met_vs_Placebo_RA_user	ACAD10	acyl-CoA dehydrogenase family member 10	Fatty Acid Degradation & Beta-oxidation	-0.0446659	0.782988
Met_vs_Placebo_RA_user	ACAD11	acyl-CoA dehydrogenase family member 11	Fatty Acid Degradation & Beta-oxidation	-0.056413	0.779166
Met_vs_Placebo_RA_user	ACAD8	acyl-CoA dehydrogenase family member 8	Fatty Acid Degradation & Beta-oxidation	0.0990009	0.318492
Met_vs_Placebo_RA_user	ACAD9	acyl-CoA dehydrogenase family member 9	Fatty Acid Degradation & Beta-oxidation	-0.0926557	0.318449
Met_vs_Placebo_RA_user	ACADL	acyl-CoA dehydrogenase long chain	Fatty Acid Degradation & Beta-oxidation	0.0367333	0.844949
Met_vs_Placebo_RA_user	ACADM	acyl-CoA dehydrogenase medium chain	Fatty Acid Degradation & Beta-oxidation	-0.0213723	0.882432
Met_vs_Placebo_RA_user	ACADS	acyl-CoA dehydrogenase short chain	Fatty Acid Degradation & Beta-oxidation	-0.293115	0.00170489
Met_vs_Placebo_RA_user	ACADVL	acyl-CoA dehydrogenase very long chain	Fatty Acid Degradation & Beta-oxidation	-0.241801	0.0201748
Met_vs_Placebo_RA_user	ACSL3	acyl-CoA synthetase long chain family member 3	Fatty Acid Degradation & Beta-oxidation	-0.0892386	0.649553
Met_vs_Placebo_RA_user	ACSL4	acyl-CoA synthetase long chain family member 4	Fatty Acid Degradation & Beta-oxidation	0.501418	0.00783558
Met_vs_Placebo_RA_user	ALDH2	aldehyde dehydrogenase 2 family member	Fatty Acid Degradation & Beta-oxidation	-0.126295	0.178798
Met_vs_Placebo_RA_user	ALDH3A2	aldehyde dehydrogenase 3 family member A2	Fatty Acid Degradation & Beta-oxidation	0.0717437	0.494537
Met_vs_Placebo_RA_user	CPT1A	carnitine palmitoyltransferase 1A	Fatty Acid Degradation & Beta-oxidation	0.635943	0.0288238
Met_vs_Placebo_RA_user	CPT1B	carnitine palmitoyltransferase 1B	Fatty Acid Degradation & Beta-oxidation	0.00575239	0.966377
Met_vs_Placebo_RA_user	CPT2	carnitine palmitoyltransferase 2	Fatty Acid Degradation & Beta-oxidation	-0.110107	0.20675
Met_vs_Placebo_RA_user	CRAT	carnitine O-acetyltransferase	Fatty Acid Degradation & Beta-oxidation	0.0568065	0.582086
Met_vs_Placebo_RA_user	DECR1	2,4-dienoyl-CoA reductase 1	Fatty Acid Degradation & Beta-oxidation	-0.129929	0.186808
Met_vs_Placebo_RA_user	ECI1	enoyl-CoA delta isomerase 1	Fatty Acid Degradation & Beta-oxidation	-0.234537	0.0295295
Met_vs_Placebo_RA_user	ECI2	enoyl-CoA delta isomerase 2	Fatty Acid Degradation & Beta-oxidation	-0.335974	0.0146294
Met_vs_Placebo_RA_user	GCDH	glutaryl-CoA dehydrogenase	Fatty Acid Degradation & Beta-oxidation	-0.373118	0.000404906
Met_vs_Placebo_RA_user	HADHA	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha	Fatty Acid Degradation & Beta-oxidation	-0.0437916	0.657901
Met_vs_Placebo_RA_user	HADHB	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta	Fatty Acid Degradation & Beta-oxidation	0.132285	0.211213
Met_vs_Placebo_RA_user	ACOT9	acyl-CoA thioesterase 9	Fatty Acid Metabolism	-0.0607402	0.657637
Met_vs_Placebo_RA_user	ACSF2	acyl-CoA synthetase family member 2	Fatty Acid Metabolism	-0.245722	0.0223467
Met_vs_Placebo_RA_user	ACSF3	acyl-CoA synthetase family member 3	Fatty Acid Metabolism	-0.239	0.100093
Met_vs_Placebo_RA_user	AGK	acylglycerol kinase	Fatty Acid Metabolism	-0.183251	0.119329
Met_vs_Placebo_RA_user	BDH1	3-hydroxybutyrate dehydrogenase 1	Fatty Acid Metabolism	-0.53488	0.00211553
Met_vs_Placebo_RA_user	HDHD5	haloacid dehalogenase like hydrolase domain containing 5	Fatty Acid Metabolism	-0.0961882	0.398893
Met_vs_Placebo_RA_user	LYPLA1	lysophospholipase 1	Fatty Acid Metabolism	0.130828	0.18179
Met_vs_Placebo_RA_user	LYPLAL1	lysophospholipase like 1	Fatty Acid Metabolism	-0.419717	0.0391295
Met_vs_Placebo_RA_user	MLYCD	malonyl-CoA decarboxylase	Fatty Acid Metabolism	0.0629308	0.72908
Met_vs_Placebo_RA_user	PCCB	propionyl-CoA carboxylase subunit beta	Fatty Acid Metabolism	-0.0520804	0.70264
Met_vs_Placebo_RA_user	PNPLA8	patatin like phospholipase domain containing 8	Fatty Acid Metabolism	0.272697	0.00651736
Met_vs_Placebo_RA_user	TMLHE	trimethyllysine hydroxylase, epsilon	Fatty Acid Metabolism	0.129803	0.172485
Met_vs_Placebo_RA_user	BOLA1	bolA family member 1	Fe-S Cluster Biosynthesis	-0.418746	0.000621271
Met_vs_Placebo_RA_user	BOLA3	bolA family member 3	Fe-S Cluster Biosynthesis	0.173207	0.313415
Met_vs_Placebo_RA_user	CIAO1	cytosolic iron-sulfur assembly component 1	Fe-S Cluster Biosynthesis	0.106966	0.189608
Met_vs_Placebo_RA_user	CIAO2A	cytosolic iron-sulfur assembly component 2A	Fe-S Cluster Biosynthesis	-0.282396	0.0168771
Met_vs_Placebo_RA_user	CIAO2B	cytosolic iron-sulfur assembly component 2B	Fe-S Cluster Biosynthesis	-0.300843	0.0248268
Met_vs_Placebo_RA_user	CIAPIN1	cytokine induced apoptosis inhibitor 1	Fe-S Cluster Biosynthesis	-0.132288	0.251507
Met_vs_Placebo_RA_user	FDX1	ferredoxin 1	Fe-S Cluster Biosynthesis	-0.163976	0.143649
Met_vs_Placebo_RA_user	FDX2	ferredoxin 2	Fe-S Cluster Biosynthesis	-0.467743	0.000868866
Met_vs_Placebo_RA_user	FDXR	ferredoxin reductase	Fe-S Cluster Biosynthesis	-0.598856	0.0167019
Met_vs_Placebo_RA_user	FXN	frataxin	Fe-S Cluster Biosynthesis	-0.166841	0.238985
Met_vs_Placebo_RA_user	HSCB	HscB mitochondrial iron-sulfur cluster cochaperone	Fe-S Cluster Biosynthesis	-0.3897	0.0411532
Met_vs_Placebo_RA_user	IBA57	iron-sulfur cluster assembly factor IBA57	Fe-S Cluster Biosynthesis	-0.310277	0.00209378
Met_vs_Placebo_RA_user	ISCA2	iron-sulfur cluster assembly 2	Fe-S Cluster Biosynthesis	0.350346	0.00684921
Met_vs_Placebo_RA_user	ISCU	iron-sulfur cluster assembly enzyme	Fe-S Cluster Biosynthesis	-0.425798	0.0041441
Met_vs_Placebo_RA_user	MMS19	MMS19 homolog, cytosolic iron-sulfur assembly component	Fe-S Cluster Biosynthesis	-0.0682163	0.575788
Met_vs_Placebo_RA_user	NARF	nuclear prelamin A recognition factor	Fe-S Cluster Biosynthesis	0.0505943	0.610835
Met_vs_Placebo_RA_user	NFS1	NFS1 cysteine desulfurase	Fe-S Cluster Biosynthesis	-0.128322	0.17198
Met_vs_Placebo_RA_user	NUBP1	nucleotide binding protein 1	Fe-S Cluster Biosynthesis	-0.214345	0.217528
Met_vs_Placebo_RA_user	NUBP2	nucleotide binding protein 2	Fe-S Cluster Biosynthesis	-0.348564	0.0119918
Met_vs_Placebo_RA_user	SLC25A28	solute carrier family 25 member 28	Fe-S Cluster Biosynthesis	-0.2868	0.00141262
Met_vs_Placebo_RA_user	SLC25A37	solute carrier family 25 member 37	Fe-S Cluster Biosynthesis	-0.0515986	0.710048
Met_vs_Placebo_RA_user	ALDH1L1	aldehyde dehydrogenase 1 family member L1	Folate & Pterin Metabolism	-0.472221	0.0578167
Met_vs_Placebo_RA_user	ALDH1L2	aldehyde dehydrogenase 1 family member L2	Folate & Pterin Metabolism	0.276722	0.36419
Met_vs_Placebo_RA_user	FPGS	folylpolyglutamate synthase	Folate & Pterin Metabolism	-0.303539	0.0710004
Met_vs_Placebo_RA_user	MTHFD1	methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1	Folate & Pterin Metabolism	0.0480003	0.636098
Met_vs_Placebo_RA_user	MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase	Folate & Pterin Metabolism	0.22091	0.316398
Met_vs_Placebo_RA_user	MTHFD2L	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2 like	Folate & Pterin Metabolism	0.235005	0.493447
Met_vs_Placebo_RA_user	MTHFS	methenyltetrahydrofolate synthetase	Folate & Pterin Metabolism	0.65983	0.00153017
Met_vs_Placebo_RA_user	PTS	6-pyruvoyltetrahydropterin synthase	Folate & Pterin Metabolism	-0.237785	0.0785697
Met_vs_Placebo_RA_user	SHMT2	serine hydroxymethyltransferase 2	Folate & Pterin Metabolism	-0.236944	0.0356011
Met_vs_Placebo_RA_user	SLC25A32	solute carrier family 25 member 32	Folate & Pterin Metabolism	0.369463	0.0234167
Met_vs_Placebo_RA_user	AKR1B1	aldo-keto reductase family 1 member B	Fructose Metabolism	-0.318744	0.00103438
Met_vs_Placebo_RA_user	ALDH1A1	aldehyde dehydrogenase 1 family member A1	Fructose Metabolism	-0.340662	0.161665
Met_vs_Placebo_RA_user	GLYCTK	glycerate kinase	Fructose Metabolism	-0.179084	0.242486
Met_vs_Placebo_RA_user	KHK	ketohexokinase	Fructose Metabolism	-0.650058	0.0122614
Met_vs_Placebo_RA_user	SORD	sorbitol dehydrogenase	Fructose Metabolism	-0.350408	0.00690133
Met_vs_Placebo_RA_user	TKFC	triokinase and FMN cyclase	Fructose Metabolism	-0.56855	0.0179376
Met_vs_Placebo_RA_user	ALDOA	aldolase, fructose-bisphosphate A	Glycolysis	-0.229603	0.000449612
Met_vs_Placebo_RA_user	ALDOC	aldolase, fructose-bisphosphate C	Glycolysis	-0.524325	0.0176763
Met_vs_Placebo_RA_user	ENO1	enolase 1	Glycolysis	-0.235507	0.0766512
Met_vs_Placebo_RA_user	ENO3	enolase 3	Glycolysis	-0.176925	0.134218
Met_vs_Placebo_RA_user	GAPDH	glyceraldehyde-3-phosphate dehydrogenase	Glycolysis	-0.456871	0.0000024076
Met_vs_Placebo_RA_user	GCK	glucokinase	Glycolysis	-0.886325	0.00227942
Met_vs_Placebo_RA_user	GPI	glucose-6-phosphate isomerase	Glycolysis	-0.168109	0.023969
Met_vs_Placebo_RA_user	HK1	hexokinase 1	Glycolysis	-0.0814049	0.42415
Met_vs_Placebo_RA_user	LDHA	lactate dehydrogenase A	Glycolysis	-0.253257	0.0587306
Met_vs_Placebo_RA_user	LDHB	lactate dehydrogenase B	Glycolysis	-0.491943	0.000129796
Met_vs_Placebo_RA_user	PC	pyruvate carboxylase	Glycolysis	-0.49411	0.0438999
Met_vs_Placebo_RA_user	PFKL	phosphofructokinase, liver type	Glycolysis	-0.348925	0.0052729
Met_vs_Placebo_RA_user	PFKM	phosphofructokinase, muscle	Glycolysis	0.124157	0.144305
Met_vs_Placebo_RA_user	PFKP	phosphofructokinase, platelet	Glycolysis	-0.0591462	0.817496
Met_vs_Placebo_RA_user	PGAM1	phosphoglycerate mutase 1	Glycolysis	-0.326363	0.0439212
Met_vs_Placebo_RA_user	PGAM2	phosphoglycerate mutase 2	Glycolysis	-0.46666	0.0000346256
Met_vs_Placebo_RA_user	PGK1	phosphoglycerate kinase 1	Glycolysis	-0.116911	0.097324
Met_vs_Placebo_RA_user	PKM	pyruvate kinase M1/2	Glycolysis	-0.118604	0.286033
Met_vs_Placebo_RA_user	SLC2A1	solute carrier family 2 member 1	Glycolysis	-0.138804	0.52317
Met_vs_Placebo_RA_user	SLC2A4	solute carrier family 2 member 4	Glycolysis	-0.00432543	0.975738
Met_vs_Placebo_RA_user	TPI1	triosephosphate isomerase 1	Glycolysis	-0.243971	0.0135916
Met_vs_Placebo_RA_user	ALAS1	5'-aminolevulinate synthase 1	Heme Biosynthesis	-0.010694	0.93328
Met_vs_Placebo_RA_user	CPOX	coproporphyrinogen oxidase	Heme Biosynthesis	0.213596	0.0658844
Met_vs_Placebo_RA_user	FECH	ferrochelatase	Heme Biosynthesis	-0.133808	0.131863
Met_vs_Placebo_RA_user	FTMT	ferritin mitochondrial	Heme Biosynthesis	0.447905	0.31032
Met_vs_Placebo_RA_user	HMBS	hydroxymethylbilane synthase	Heme Biosynthesis	-0.399128	0.0000769587
Met_vs_Placebo_RA_user	UROD	uroporphyrinogen decarboxylase	Heme Biosynthesis	-0.325419	0.00338292
Met_vs_Placebo_RA_user	UROS	uroporphyrinogen III synthase	Heme Biosynthesis	-0.000254832	0.998866
Met_vs_Placebo_RA_user	CHCHD4	coiled-coil-helix-coiled-coil-helix domain containing 4	Import & Sorting	-0.215488	0.0780867
Met_vs_Placebo_RA_user	CHCHD5	coiled-coil-helix-coiled-coil-helix domain containing 5	Import & Sorting	-0.194955	0.0949529
Met_vs_Placebo_RA_user	CMC2	C-X9-C motif containing 2	Import & Sorting	-0.703577	0.0000721201
Met_vs_Placebo_RA_user	DNAJC15	DnaJ heat shock protein family (Hsp40) member C15	Import & Sorting	0.0621994	0.685689
Met_vs_Placebo_RA_user	DNAJC19	DnaJ heat shock protein family (Hsp40) member C19	Import & Sorting	-0.427519	0.0000365581
Met_vs_Placebo_RA_user	GRPEL1	GrpE like 1, mitochondrial	Import & Sorting	-0.239177	0.00495164
Met_vs_Placebo_RA_user	GRPEL2	GrpE like 2, mitochondrial	Import & Sorting	0.253519	0.00324396
Met_vs_Placebo_RA_user	HSPA9	heat shock protein family A (Hsp70) member 9	Import & Sorting	0.128791	0.125989
Met_vs_Placebo_RA_user	HSPE1	heat shock protein family E (Hsp10) member 1	Import & Sorting	-0.397647	0.000695485
Met_vs_Placebo_RA_user	IMMP1L	inner mitochondrial membrane peptidase subunit 1	Import & Sorting	-0.220356	0.241476
Met_vs_Placebo_RA_user	IMMP2L	inner mitochondrial membrane peptidase subunit 2	Import & Sorting	-0.18097	0.175307
Met_vs_Placebo_RA_user	METAP1D	methionyl aminopeptidase type 1D, mitochondrial	Import & Sorting	-0.297559	0.0421004
Met_vs_Placebo_RA_user	MIPEP	mitochondrial intermediate peptidase	Import & Sorting	-0.212169	0.147711
Met_vs_Placebo_RA_user	MTX1	metaxin 1	Import & Sorting	-0.490406	0.000252858
Met_vs_Placebo_RA_user	MTX2	metaxin 2	Import & Sorting	-0.314053	0.00348866
Met_vs_Placebo_RA_user	MTX3	metaxin 3	Import & Sorting	1.33086	0.0000171893
Met_vs_Placebo_RA_user	PAM16	presequence translocase associated motor 16	Import & Sorting	-0.509836	0.00332355
Met_vs_Placebo_RA_user	PMPCA	peptidase, mitochondrial processing alpha subunit	Import & Sorting	0.02107	0.851247
Met_vs_Placebo_RA_user	PMPCB	peptidase, mitochondrial processing beta subunit	Import & Sorting	-0.00388815	0.975738
Met_vs_Placebo_RA_user	PPIF	peptidylprolyl isomerase F	Import & Sorting	-0.15788	0.107521
Met_vs_Placebo_RA_user	SAMM50	SAMM50 sorting and assembly machinery component	Import & Sorting	-0.0804941	0.507634
Met_vs_Placebo_RA_user	TAMM41	TAM41 mitochondrial translocator assembly and maintenance homolog	Import & Sorting	0.064117	0.770182
Met_vs_Placebo_RA_user	TIMM10	translocase of inner mitochondrial membrane 10	Import & Sorting	-0.571324	0.0000105089
Met_vs_Placebo_RA_user	TIMM10B	translocase of inner mitochondrial membrane 10B	Import & Sorting	-0.10403	0.452886
Met_vs_Placebo_RA_user	TIMM17A	translocase of inner mitochondrial membrane 17A	Import & Sorting	-0.0485064	0.628198
Met_vs_Placebo_RA_user	TIMM17B	translocase of inner mitochondrial membrane 17B	Import & Sorting	-0.507205	0.0000048618
Met_vs_Placebo_RA_user	TIMM21	translocase of inner mitochondrial membrane 21	Import & Sorting	-0.151977	0.217263
Met_vs_Placebo_RA_user	TIMM22	translocase of inner mitochondrial membrane 22	Import & Sorting	-0.399632	0.000987684
Met_vs_Placebo_RA_user	TIMM23	translocase of inner mitochondrial membrane 23	Import & Sorting	-0.293506	0.000211404
Met_vs_Placebo_RA_user	TIMM44	translocase of inner mitochondrial membrane 44	Import & Sorting	-0.377695	0.0000491433
Met_vs_Placebo_RA_user	TIMM50	translocase of inner mitochondrial membrane 50	Import & Sorting	-0.323165	0.0036179
Met_vs_Placebo_RA_user	TIMM8B	translocase of inner mitochondrial membrane 8 homolog B	Import & Sorting	-0.475003	0.000973471
Met_vs_Placebo_RA_user	TIMM9	translocase of inner mitochondrial membrane 9	Import & Sorting	-0.259033	0.015864
Met_vs_Placebo_RA_user	TIMMDC1	translocase of inner mitochondrial membrane domain containing 1	Import & Sorting	0.19588	0.136373
Met_vs_Placebo_RA_user	TOMM20	translocase of outer mitochondrial membrane 20	Import & Sorting	-0.0129099	0.892669
Met_vs_Placebo_RA_user	TOMM22	translocase of outer mitochondrial membrane 22	Import & Sorting	-0.252572	0.000614549
Met_vs_Placebo_RA_user	TOMM34	translocase of outer mitochondrial membrane 34	Import & Sorting	-0.347997	0.0424774
Met_vs_Placebo_RA_user	TOMM40	translocase of outer mitochondrial membrane 40	Import & Sorting	-0.352401	0.000410979
Met_vs_Placebo_RA_user	TOMM40L	translocase of outer mitochondrial membrane 40 like	Import & Sorting	-0.197935	0.023014
Met_vs_Placebo_RA_user	TOMM7	translocase of outer mitochondrial membrane 7	Import & Sorting	-0.516095	0.0000767945
Met_vs_Placebo_RA_user	TOMM70	translocase of outer mitochondrial membrane 70	Import & Sorting	-0.0748582	0.354238
Met_vs_Placebo_RA_user	YME1L1	YME1 like 1 ATPase	Import & Sorting	0.115759	0.0731137
Met_vs_Placebo_RA_user	LIAS	lipoic acid synthetase	Lipoic Acid Metabolism	-0.0914892	0.366035
Met_vs_Placebo_RA_user	LIPT1	lipoyltransferase 1	Lipoic Acid Metabolism	-0.177464	0.24067
Met_vs_Placebo_RA_user	LIPT2	lipoyl(octanoyl) transferase 2	Lipoic Acid Metabolism	-0.46279	0.0129767
Met_vs_Placebo_RA_user	ABCD1	ATP binding cassette subfamily D member 1	Metabolism of Lipids & Lipoproteins	-0.0701824	0.598669
Met_vs_Placebo_RA_user	ACACA	acetyl-CoA carboxylase alpha	Metabolism of Lipids & Lipoproteins	0.264826	0.0149351
Met_vs_Placebo_RA_user	ACP6	acid phosphatase 6, lysophosphatidic	Metabolism of Lipids & Lipoproteins	0.162701	0.438668
Met_vs_Placebo_RA_user	ACSS3	acyl-CoA synthetase short chain family member 3	Metabolism of Lipids & Lipoproteins	0.13855	0.301856
Met_vs_Placebo_RA_user	AGPAT5	1-acylglycerol-3-phosphate O-acyltransferase 5	Metabolism of Lipids & Lipoproteins	0.231919	0.00263538
Met_vs_Placebo_RA_user	CDS2	CDP-diacylglycerol synthase 2	Metabolism of Lipids & Lipoproteins	0.394742	0.000712977
Met_vs_Placebo_RA_user	CYB5R1	cytochrome b5 reductase 1	Metabolism of Lipids & Lipoproteins	-0.118203	0.389318
Met_vs_Placebo_RA_user	CYB5R3	cytochrome b5 reductase 3	Metabolism of Lipids & Lipoproteins	-0.254871	0.0264319
Met_vs_Placebo_RA_user	CYP27A1	cytochrome P450 family 27 subfamily A member 1	Metabolism of Lipids & Lipoproteins	-0.360696	0.156797
Met_vs_Placebo_RA_user	FDPS	farnesyl diphosphate synthase	Metabolism of Lipids & Lipoproteins	-0.213656	0.361651
Met_vs_Placebo_RA_user	GPAM	glycerol-3-phosphate acyltransferase, mitochondrial	Metabolism of Lipids & Lipoproteins	0.462649	0.00170535
Met_vs_Placebo_RA_user	LACTB	lactamase beta	Metabolism of Lipids & Lipoproteins	0.153819	0.29584
Met_vs_Placebo_RA_user	NUDT19	nudix hydrolase 19	Metabolism of Lipids & Lipoproteins	-0.127802	0.302777
Met_vs_Placebo_RA_user	OPA3	OPA3 outer mitochondrial membrane lipid metabolism regulator	Metabolism of Lipids & Lipoproteins	0.0922675	0.318356
Met_vs_Placebo_RA_user	PISD	phosphatidylserine decarboxylase	Metabolism of Lipids & Lipoproteins	-0.0792023	0.564877
Met_vs_Placebo_RA_user	PRELID3A	PRELI domain containing 3A	Metabolism of Lipids & Lipoproteins	0.0856168	0.698445
Met_vs_Placebo_RA_user	PRELID3B	PRELI domain containing 3B	Metabolism of Lipids & Lipoproteins	0.0814732	0.499473
Met_vs_Placebo_RA_user	SARDH	sarcosine dehydrogenase	Metabolism of Lipids & Lipoproteins	0.130882	0.603398
Met_vs_Placebo_RA_user	SERAC1	serine active site containing 1	Metabolism of Lipids & Lipoproteins	0.0597589	0.762351
Met_vs_Placebo_RA_user	SLC27A3	solute carrier family 27 member 3	Metabolism of Lipids & Lipoproteins	0.23502	0.470982
Met_vs_Placebo_RA_user	STARD7	StAR related lipid transfer domain containing 7	Metabolism of Lipids & Lipoproteins	0.0696022	0.345787
Met_vs_Placebo_RA_user	CLYBL	citrate lyase beta like	Metabolism of Vitamins & Co-Factors	0.156822	0.276693
Met_vs_Placebo_RA_user	COASY	Coenzyme A synthase	Metabolism of Vitamins & Co-Factors	-0.293942	0.00715872
Met_vs_Placebo_RA_user	CYB5A	cytochrome b5 type A	Metabolism of Vitamins & Co-Factors	-0.0508346	0.715275
